epoch,train_loss,train_accuracy,val_accuracy
1,0.13111059799212527,96.06166666666667,97.3
2,0.059498520494229705,98.25166666666667,98.52
3,0.04624528894429284,98.61166666666666,98.52
4,0.0388329464904115,98.84666666666666,98.15
5,0.03473050171698157,98.97333333333333,98.9
6,0.030849146221887627,99.105,99.19
7,0.026111808560083313,99.235,99.09
8,0.02342812694658313,99.27666666666667,98.38
9,0.022548406536873705,99.38,99.22
10,0.019321785870810293,99.40666666666667,99.24
11,0.017817636382270435,99.44666666666667,99.0
12,0.01424347201187001,99.57666666666667,99.12
13,0.014708644719832091,99.56,99.47
14,0.012201218403732278,99.60333333333334,99.39
15,0.011586534542845773,99.67166666666667,99.15
16,0.01061155708200411,99.69,99.1
17,0.009933865851829928,99.72333333333333,99.07
18,0.010121269506569016,99.73,99.21
19,0.008699900860886534,99.74333333333334,99.36
20,0.0056825669568104165,99.82666666666667,99.28
21,0.00913075000596879,99.74,99.3
22,0.007812595761146079,99.765,99.31
23,0.006064504481742491,99.795,99.29
24,0.006302902461634679,99.815,99.21
25,0.0055750079794431116,99.83666666666667,99.41
26,0.005488571420897476,99.84,99.01
27,0.0057290217572798134,99.82,99.29
28,0.004339930091944757,99.865,99.29
29,0.005000398943285273,99.85,99.32
30,0.00542944098739713,99.83833333333334,99.21
31,0.00407844067012296,99.89166666666667,99.22
32,0.00435543832069444,99.87833333333333,99.34
33,0.0037047040652746902,99.88166666666666,99.38
34,0.0034882706050318123,99.90333333333334,99.42
35,0.005124758910085423,99.84166666666667,99.36
36,0.002481127264122936,99.935,99.4
37,0.0033997108408830388,99.89666666666666,99.33
38,0.003101130872487166,99.91666666666667,99.27
39,0.0016919799885455845,99.95,99.5
40,0.004545087195200951,99.89,99.19
41,0.004895493720627487,99.86666666666666,99.51
42,0.0028396778638339346,99.915,99.36
43,0.0028989694561565734,99.9,99.22
44,0.0032163354974166,99.91833333333334,99.4
45,0.0032673546515486233,99.89333333333333,99.44
46,0.001937038843204227,99.93666666666667,99.07
47,0.002700748570334326,99.92833333333333,99.56
48,0.0019909174098072272,99.94333333333333,99.37
49,0.002432214947146047,99.93833333333333,99.36
50,0.0028887717389701585,99.91833333333334,99.4
51,0.0024290207085060985,99.935,99.15
52,0.002427941179310903,99.92833333333333,99.46
53,0.0028226868953920153,99.925,99.4
54,0.002265490727581073,99.94333333333333,99.37
55,0.0029969778444115793,99.92666666666666,99.46
56,0.0007727812879724042,99.98,99.42
57,0.003163836860514334,99.93,99.3
58,0.003398162924021962,99.90166666666667,99.34
59,0.0016062578529091622,99.95,99.45
60,0.00203450493457831,99.955,99.34
61,0.00165431358033696,99.94833333333334,99.46
62,0.0013743952987662858,99.97333333333333,99.31
63,0.0029609276915120624,99.91166666666666,99.09
64,0.0017979195524028071,99.96333333333334,99.43
65,0.0017486980433234608,99.96666666666667,99.36
66,0.0025925333505293947,99.93833333333333,99.39
67,0.0013259646206722222,99.97,99.41
68,0.0013001267933337142,99.97333333333333,99.48
69,0.0005736524195359795,99.99166666666666,99.35
70,0.004307924004571109,99.89666666666666,99.33
71,0.0008419085197835393,99.975,99.46
72,0.0018476771496653951,99.94833333333334,99.37
73,0.0020209923009132254,99.94166666666666,99.5
74,0.0016475096536865638,99.96,99.31
75,0.0024519688444161274,99.925,99.37
76,0.0008694003212374915,99.975,99.4
77,0.0014914781635032614,99.965,99.27
78,0.0025683577239944064,99.92666666666666,99.45
79,0.002502668441068905,99.92166666666667,99.33
80,0.0009785445416035697,99.96833333333333,99.37
81,0.001302378712185253,99.96666666666667,99.34
82,0.002828271350147442,99.93833333333333,99.44
83,0.0004807967825210778,99.98333333333333,99.4
84,0.0009721991301419863,99.97666666666667,99.36
85,0.0009454534453752244,99.99,99.44
86,0.0024050518973742596,99.95666666666666,99.36
87,0.0016718248305683434,99.96,99.36
88,0.0006403730207784107,99.98333333333333,99.41
89,0.0017340065765435058,99.96333333333334,99.39
90,0.0030760980838166604,99.92833333333333,99.41
91,0.001360744141346574,99.97333333333333,99.36
92,0.0005795574171655451,99.98333333333333,99.51
93,0.0016853716787326887,99.955,99.22
94,0.0035725239253605735,99.91333333333333,99.33
95,0.00028639920808512585,99.98833333333333,99.46
96,0.0002570963631075051,99.99666666666667,99.37
97,0.0013799220838903187,99.96333333333334,99.28
98,0.0021365263884997633,99.94833333333334,99.35
99,0.0016570002853009858,99.95833333333333,99.44
100,0.0006406174170800637,99.98666666666666,99.42
